Altium Designer Pick and Place Locations
C:\Users\USER\Documents\Projects\Logic-level-converter-5V-to-24V\LED_ring_round\Project Outputs for LED_ring_round\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       24/03/24
Time:       14:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R8","220","TopLayer","RESC2012X65N","46.7360","30.6070","45","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R7","220","TopLayer","RESC2012X65N","35.1810","44.5770","0","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R6","220","TopLayer","RESC2012X65N","38.1000","63.6270","315","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R5","220","TopLayer","RESC2012X65N","51.4350","74.5490","270","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R4","220","TopLayer","RESC2012X65N","69.9770","72.2630","225","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R3","220","TopLayer","RESC2012X65N","81.6610","57.6580","180","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R2","220","TopLayer","RESC2012X65N","78.8670","39.2430","135","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"R1","220","TopLayer","RESC2012X65N","64.6430","28.0670","90","RP 2A 51K1 0.1% 15PPM CUT LENGTH"
"D8","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","40.5726","33.4606","225","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D7","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","33.1260","51.3080","180","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D6","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","40.4456","69.0285","135","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D5","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","58.2930","76.6020","90","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D4","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","76.1405","69.1555","45","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D3","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","83.6950","51.3080","0","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D2","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","76.2675","33.4606","315","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"D1","MP-2835-12D2-40-80","TopLayer","LED_MP-2835-12D2-40-80","58.4200","26.0140","270","LED Midpower Lighting series 2835 White, 4000K, 80 CRI, 37lm 2.69V 180mA 120°"
"P1","Header 2","TopLayer","HDR1X2","51.8160","27.5590","180","Header, 2-Pin"
